HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,127,59,68,5,93,62,31,4,161,24,137,4,90,36,54,3,29,40,-11,3,500,221,279,2,0,0,5,19,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,5,3,2,60.00%,2,0,2,0,0,0,0,25,0,0,2,3,3,0,31,0,3,3,0,9
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,40,51,-11,2,49,45,4,2,11,98,-87,2,50,31,19,2,12,25,-13,2,162,250,-88,0,1,1,1,10,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,8,2,6,25.00%,3,4,1,3,1,0,1,1,1,0,4,1,3,2,1,2,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Subliners,10,13,20,32,38,4,45,39,33,12,4,,,,,250,11,,18,-13,3,58,29,2,59,33,2,65,39,2,50,22,2,22.73,45,4,0,0,0,0,,,Surge,14,75,-61,2,28,61,-33,2,2,79,-77,2,13,18,-5,1,14,17,-3,1,71,250,-179,0,2,1,0,8,,,,,,Tuscan,Breach,1,,D,,,,O,,,A,D,,,,O,,1,,D,X,1,A,O,,,B,D,X,1,,O,X,,A,D,,1,A,O,X,1,,O,,6,,6,4,2,2,2,2,0,0,5,2,2,1,2,0,1,0,,,Guerrillas,9,3,6,33.33%,6,5,3,2,3,2,0,0,3,3,4,0,4,3,0,3,0,0,0,,,,,,Gavutu,Subliners,1,X,,3,O,7,1,X,X,,D,19,,,,2,O,8,,,,,D,0,1,,,,D,12,3,46,5,,2,1,1,1,0,0,15,0,1,5,3,2,31,1,1,2,0,8,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Breach,8,23,19,7,1,22,6,7,19,27,1,,,,,140,,,31,13,3,29,-29,2,26,-33,2,26,-39,2,28,-22,2,12.73,27,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Total Pts,,1623,,,3,9,3,9,41,,,,,,Tuscan,Subliners,,,O,X,1,,D,X,1,A,O,X,1,,D,X,,,O,,,A,D,X,1,B,O,,,,D,,1,A,O,X,,A,D,,,,D,X,5,,5,3,3,2,2,2,1,1,6,2,4,2,2,0,0,0,,,Surge,10,6,4,60.00%,4,5,1,4,0,0,1,1,2,0,5,5,0,4,4,1,1,1,1,,,,,,Gavutu,Breach,,,,,D,0,,,,,O,12,1,,,,D,10,,X,,5,O,9,,,,3,O,9,1,40,8,,3,0,1,0,0,0,30,0,0,8,2,1,10,0,0,1,0,5,,Surge,6,6,0,100.00%,2,2,0,2,2,0,0,15,0,2,10,4,4,0,53,2,4,4,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Bocage,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Berlin,Subliners,34,10,26,10,9,17,27,26,28,32,21,0,,,,240,12,,72,4,3,37,-36,3,52,2,2,38,1,2,41,19,2,20.00,34,0,0,1,0,1,,,Breach,31,18,13,3,29,58,-29,2,26,59,-33,2,26,65,-39,2,28,50,-22,2,140,250,-110,0,0,0,0,11,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Bocage,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Tuscan,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Berlin,Breach,6,30,25,29,22,35,13,25,8,0,27,30,,,,250,,,68,-4,3,73,36,3,50,-2,2,37,-1,2,22,-19,2,20.83,35,0,0,1,0,1,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Breach,,,D,,,A,O,X,,,D,X,,,O,,,A,D,X,1,,O,,,B,D,,,,,,,,,,,,,,,,,,1,,3,1,1,0,1,0,0,0,4,0,2,0,1,0,1,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Legion,,,,2,O,12,1,,X,,D,7,,,,,O,13,1,,X,,D,11,1,,X,,D,13,3,56,2,,2,0,0,0,0,0,25,0,0,2,3,3,31,0,3,3,0,9,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,44,12,32,3,76,11,65,2,28,69,-41,2,67,11,56,2,35,44,-9,2,250,147,103,0,0,0,0,11,,,,,,Berlin,Subliners,1,,O,X,1,A,D,,1,,O,,1,,D,X,1,A,O,,,,D,X,1,B,O,X,,,,,,,,,,,,,,,,,6,,4,4,2,2,1,1,1,1,3,2,2,1,1,1,0,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Thieves,1,X,X,,D,15,,X,,3,O,5,1,X,X,,D,20,,X,,3,O,3,,X,,3,O,5,2,48,9,,3,0,3,0,0,0,13,0,0,9,2,2,35,2,2,2,0,2,,OpTic,4,3,1,75.00%,2,1,1,1,1,1,1,11,1,0,7,2,2,0,24,1,2,2,0,5
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,FaZe,35,30,5,3,66,18,48,2,50,41,9,2,51,34,17,2,48,27,21,2,250,150,100,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,10,4,6,40.00%,6,5,2,3,2,1,1,1,1,1,5,2,3,4,2,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,8,4,4,50.00%,4,1,3,3,1,0,0,28,0,1,11,4,3,1,26,1,3,1,2,15
Gavutu,Thieves,8,19,13,21,44,28,37,41,0,39,,,,,,250,10,,36,-19,2,56,9,2,54,22,2,21,-56,2,83,80,2,25.00,44,0,0,1,0,1,,,Mutineers,48,32,16,3,51,82,-31,3,67,42,25,3,28,61,-33,2,56,29,27,2,250,246,4,0,0,0,0,13,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Legion,32,29,30,30,3,23,18,2,47,0,,,,,,214,,,55,19,2,47,-9,2,32,-22,2,77,56,2,3,-80,2,21.40,47,0,0,1,0,1,,,Subliners,45,75,-30,6,134,76,58,5,116,100,16,5,92,83,9,4,113,48,65,4,500,382,118,0,1,0,1,24,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,8,2,6,25.00%,3,1,2,3,1,1,1,22,1,0,15,5,1,4,10,0,1,1,0,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rokkr,44,27,17,3,47,76,-29,3,74,57,17,3,57,27,30,2,20,63,-43,2,242,250,-8,0,1,0,1,13,,,,,,Desert Siege,Legion,,,D,,,,O,X,,B,D,X,,,O,,1,,D,X,,,O,,,B,D,,,,,,,,,,,,,,,,,,1,,3,0,1,0,0,0,0,0,4,1,2,1,0,0,2,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,FaZe,,X,,5,O,1,,,,,D,0,,X,,4,O,1,,,,,,,,,,,,,0,2,9,,2,0,2,0,0,0,2,0,0,9,1,0,0,0,0,0,0,5,,Subliners,5,2,3,40.00%,2,1,1,2,1,1,1,19,1,0,10,3,1,2,25,0,2,1,0,14
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Royal Ravens,17,86,-69,3,49,59,-10,3,67,13,54,2,22,68,-46,2,48,24,24,2,203,250,-47,0,1,0,0,12,,,,,,Desert Siege,Thieves,1,,O,X,1,,D,,1,B,O,,1,,D,X,,,O,,1,,D,X,1,B,O,X,,,,,,,,,,,,,,,,,6,,4,3,2,2,0,0,2,2,3,3,2,2,0,0,0,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Surge,1,,X,,D,11,1,X,,5,O,13,1,,X,,D,1,,,,,,,,,,,,,3,25,5,,1,1,1,1,0,0,13,0,1,5,2,2,12,0,2,2,0,9,,Rokkr,5,3,2,60.00%,3,2,1,3,2,1,1,29,1,1,14,2,1,1,8,0,1,1,0,10
