HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,169,171,-2,8,122,151,-29,7,107,190,-83,6,103,127,-24,6,42,111,-69,6,543,750,-207,0,2,1,1,33,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,18,9,9,50.00%,9,9,4,5,3,3,3,2,2,1,9,5,4,6,4,2,1,4,2,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,13,84,-71,2,21,70,-49,2,42,48,-6,2,18,27,-9,2,4,21,-17,1,98,250,-152,0,0,0,0,9,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,22,12,10,54.55%,10,12,6,6,7,5,4,3,5,3,10,6,4,3,2,4,2,2,1,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,9,5,4,55.56%,5,1,4,3,1,1,1,39,1,0,16,4,4,0,46,2,4,3,1,8
Gavutu,Thieves,25,23,53,0,2,50,22,20,52,3,,,,,,250,10,,75,57,2,45,14,2,73,41,2,52,1,2,5,-30,2,25.00,53,0,3,1,0,2,,,Surge,15,120,-105,3,68,27,41,2,40,61,-21,2,25,33,-8,2,38,9,29,2,186,250,-64,0,2,1,0,11,,,,,,Tuscan,Breach,1,,D,,,,O,,1,,D,,,,O,,1,,D,X,,A,O,,1,,D,X,,B,O,,,B,D,,,,O,,,,,,4,,5,0,0,0,1,0,1,0,5,4,2,2,0,0,1,0,,,Guerrillas,20,9,11,45.00%,6,10,5,5,2,2,2,1,4,3,10,4,6,4,3,2,1,3,1,,,,,,Tuscan,Thieves,,X,,3,O,0,1,,X,,D,6,1,X,,5,O,6,,,X,,D,8,,X,,3,O,4,2,24,11,,3,1,3,1,0,0,10,0,1,11,2,1,14,0,2,0,1,8,,Guerrillas,10,5,5,50.00%,5,1,4,2,1,0,0,36,0,1,13,5,4,1,60,1,4,4,0,18
Gavutu,Ultra,12,12,0,48,35,6,19,32,3,0,,,,,,167,,,18,-57,2,31,-14,2,32,-41,2,51,-1,2,35,30,2,16.70,48,0,0,2,3,1,,,,,,,,,,,,,,,,,,,,,,Total Pts,,3341,,,4,9,4,9,86,,,,,,Tuscan,FaZe,,,O,X,1,,D,X,,,O,X,1,,D,X,,,O,,1,A,D,X,,,O,,1,B,D,X,1,B,O,X,1,,D,X,,,,,6,,5,1,3,1,0,0,1,1,5,5,5,5,1,1,1,1,,,Surge,18,6,12,33.33%,7,9,4,5,3,2,5,2,3,2,9,2,7,4,2,2,0,4,1,,,,,,Tuscan,Ultra,1,,X,,D,6,,X,,4,O,0,,,,,D,0,1,X,,4,O,0,1,,X,,D,5,3,11,8,,2,1,2,1,0,0,0,0,1,8,3,2,11,0,2,1,1,11,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,50,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Bocage,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Berlin,Thieves,4,38,37,0,36,39,19,9,55,13,,,,,,250,10,,43,-6,2,57,33,2,46,3,2,55,29,2,49,46,2,25.00,55,0,1,1,0,1,,,Breach,144,105,39,9,120,231,-111,9,118,151,-33,8,143,117,26,6,82,146,-64,6,607,750,-143,0,3,0,0,38,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Bocage,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Tuscan,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Berlin,Ultra,36,7,9,26,1,13,17,34,0,2,,,,,,145,,,49,6,2,24,-33,2,43,-3,2,26,-29,2,3,-46,2,14.50,36,0,0,1,1,1,,,OpTic,65,100,-35,6,131,100,31,6,104,51,53,4,68,103,-35,4,59,105,-46,4,427,459,-32,0,3,0,1,24,,,,,,Tuscan,Ultra,1,A,D,X,,,O,,,A,D,X,1,A,O,X,1,A,D,,1,A,O,X,1,,D,X,1,A,O,X,,,,,,,,,,,,,6,,4,3,3,3,3,3,0,0,4,3,3,2,3,2,0,0,,,Breach,11,6,5,54.55%,6,5,2,3,2,1,2,2,0,0,6,4,2,4,4,1,0,0,0,,,,,,Tuscan,OpTic,,X,,3,O,3,1,,X,,D,13,,X,,4,O,5,1,,X,,D,12,1,,X,,D,6,3,39,7,,2,0,2,0,0,0,8,0,0,7,3,3,31,0,3,3,0,9,,Breach,12,5,7,41.67%,6,1,5,5,1,1,1,41,1,0,29,6,4,2,30,0,4,4,0,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Thieves,,A,O,,1,,D,X,1,A,O,,,A,D,,,A,O,X,,A,D,,,,O,,,A,D,,,,,,,,,,,,,,2,,4,1,1,0,3,1,0,0,4,1,1,1,3,0,0,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,1,,X,,D,4,,X,,3,O,8,1,,X,,D,6,,X,,3,O,1,,X,,3,O,7,2,26,9,,3,0,3,0,0,0,16,0,0,9,2,2,10,0,2,2,0,7,,OpTic,15,9,6,60.00%,6,0,6,5,0,0,0,50,0,0,19,9,9,0,90,0,9,9,0,30
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,FaZe,146,85,61,9,185,122,63,8,125,131,-6,7,168,87,81,6,126,103,23,6,750,528,222,0,1,0,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,9,6,3,66.67%,5,4,2,2,2,1,0,0,0,0,5,4,1,3,3,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,9,3,6,33.33%,5,1,4,5,1,0,0,17,0,1,17,4,2,2,37,0,3,1,1,18
Bocage,OpTic,8,21,28,9,0,24,48,22,44,23,10,13,,,,250,12,,42,-3,3,82,33,3,50,21,2,53,21,2,23,-31,2,20.83,48,0,0,1,0,1,,,Mutineers,30,50,-20,3,46,43,3,3,34,40,-6,2,66,16,50,2,74,10,64,2,250,159,91,0,0,0,1,12,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,27,16,11,59.26%,14,4,10,13,3,4,4,103,3,1,61,13,12,1,114,1,10,12,0,47
Bocage,Surge,4,27,6,32,41,7,7,23,0,13,34,15,,,,209,,,45,3,3,49,-33,3,29,-21,2,32,-21,2,54,31,2,17.42,41,0,0,1,0,1,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,11,5,6,45.45%,5,6,2,4,2,2,1,1,0,0,5,3,2,3,2,2,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,4,3,1,75.00%,2,1,1,2,1,0,0,15,0,1,9,2,2,0,18,1,2,2,0,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Ultra,,A,D,,,,O,,1,,D,X,,,O,X,1,B,D,X,1,B,O,,1,A,D,X,1,A,O,X,1,B,D,X,,,,,,,,,6,,4,2,2,1,1,1,1,1,5,4,4,4,2,1,2,2,,,Subliners,9,3,6,33.33%,4,5,1,4,2,1,1,0,1,1,4,2,2,2,1,0,0,0,0,,,,,,Gavutu,Guerrillas,,,,2,O,11,1,,X,,D,12,,,,2,O,10,1,,X,,D,5,,,,2,O,6,2,44,6,,3,0,0,0,0,0,27,0,0,6,2,2,17,0,2,2,0,7,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Thieves,1,A,O,X,1,,D,X,,,O,,1,,D,,,B,O,,,B,D,X,,A,O,,,A,D,,,B,O,,,,,,,,,,3,,5,1,1,1,2,1,2,0,4,2,2,1,1,0,1,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Rokkr,1,X,X,,D,13,,X,,3,O,9,1,X,X,,D,12,,X,,4,O,7,1,X,X,,D,15,3,56,7,,2,0,2,0,0,0,16,0,0,7,3,3,40,3,3,3,0,6,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
