HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,62,33,29,2,85,11,74,2,19,81,-62,2,63,0,63,2,21,17,4,1,250,142,108,0,1,1,2,9,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,7,1,6,14.29%,1,4,1,3,0,0,0,0,0,0,3,0,3,1,0,2,0,1,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,9,5,4,55.56%,4,1,3,1,1,0,0,47,0,1,9,5,4,1,53,1,4,4,0,16
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,138,93,45,5,119,90,29,5,110,93,17,5,51,54,-3,4,82,42,40,4,500,372,128,1,0,0,2,23,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,11,5,6,45.45%,4,6,3,3,2,1,2,2,1,0,5,2,3,2,1,4,2,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,5,3,2,60.00%,2,1,1,1,1,0,0,23,0,1,6,3,2,1,26,1,2,2,0,7
Tuscan,Surge,19,32,24,15,53,35,30,0,25,9,8,,,,,250,11,,62,21,3,62,33,2,24,-10,2,40,2,2,62,33,2,22.73,53,0,1,1,0,1,,,Surge,33,62,-29,2,11,85,-74,2,81,19,62,2,0,63,-63,2,17,21,-4,1,142,250,-108,1,2,0,1,9,,,,,,Berlin,Breach,1,A,D,X,1,B,O,X,1,,D,,1,B,O,,,B,D,,1,,O,X,,A,D,X,,B,O,,,A,D,,1,B,O,X,,,,,6,,5,4,3,3,0,0,4,3,5,2,2,1,3,1,1,0,,,Guerrillas,16,10,6,62.50%,10,8,6,2,5,4,4,3,3,3,8,4,4,5,4,1,1,4,1,,,,,,Gavutu,Surge,,X,,3,O,1,1,X,X,,D,16,,,,4,O,7,1,X,X,,D,26,1,,X,,D,6,3,56,7,,2,0,1,0,0,0,8,0,0,7,3,3,48,2,3,3,0,4,,Guerrillas,5,2,3,40.00%,2,1,1,2,1,0,0,31,0,1,9,3,1,2,6,0,1,0,1,15
Tuscan,Subliners,28,14,6,28,3,13,15,28,10,26,0,,,,,171,,,41,-21,3,29,-33,2,34,10,2,38,-2,2,29,-33,2,15.55,28,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,Total Pts,,2158,,,3,8,3,8,55,,,,,,Berlin,Guerrillas,,A,O,,,B,D,,,,O,X,,B,D,X,1,B,O,X,,,D,,1,A,O,,1,B,D,X,1,A,O,X,,B,D,,,,,,4,,5,3,3,2,3,2,1,1,5,1,2,1,0,0,4,1,,,Surge,11,6,5,54.55%,7,5,3,2,3,2,4,2,1,1,6,3,3,4,2,2,0,1,1,,,,,,Gavutu,Subliners,1,,X,,D,10,,,,,O,12,1,X,X,,D,10,,,,,O,16,,X,,4,O,3,2,51,4,,3,0,1,0,0,0,31,0,0,4,2,2,20,1,2,2,0,7,,Surge,10,5,5,50.00%,5,1,4,2,1,0,0,33,0,1,14,5,4,1,66,3,4,4,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Bocage,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Legion,42,34,22,8,30,42,2,36,0,34,,,,,,250,10,,84,77,2,36,-26,2,58,26,2,8,-94,2,64,49,2,25.00,42,0,0,1,1,2,,,Breach,23,40,-17,3,82,41,41,3,47,74,-27,3,36,63,-27,2,49,32,17,2,237,250,-13,0,0,0,1,13,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Bocage,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Tuscan,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Gavutu,FaZe,0,17,22,46,15,7,45,10,56,0,,,,,,218,,,7,-77,2,62,26,2,32,-26,2,102,94,2,15,-49,2,21.80,56,0,1,2,0,1,,,OpTic,12,33,-21,3,42,41,1,3,32,35,-3,2,42,37,5,2,60,17,43,2,188,163,25,0,1,0,1,12,,,,,,Bocage,Surge,1,,D,,,A,O,,1,,D,X,,,O,,,A,D,X,1,A,O,X,1,,D,X,1,A,O,X,,,D,,,B,O,,1,A,O,X,6,,6,3,3,3,4,3,1,0,5,3,3,2,1,0,0,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Legion,,,,2,O,10,1,,X,,D,12,1,X,,4,O,10,1,X,X,,D,23,,,,,,,3,55,6,,2,1,1,1,0,0,20,0,1,6,2,2,35,1,2,2,0,3,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,25,41,-16,2,0,83,-83,2,53,33,20,2,30,56,-26,2,28,37,-9,2,136,250,-114,0,2,0,0,10,,,,,,Bocage,Subliners,,,O,X,1,A,D,X,,,O,,1,,D,X,1,A,O,,,A,D,,,,O,,,A,D,,1,,O,X,1,B,D,X,,A,D,,5,,5,2,2,1,1,1,0,0,6,3,3,3,4,1,1,1,,,OpTic,11,5,6,45.45%,5,6,2,4,2,0,2,1,1,1,5,3,2,3,3,0,0,1,0,,,,,,Gavutu,FaZe,1,X,X,,D,17,,X,,3,O,6,,,,,D,0,,,,,O,15,,,,,,,1,38,3,,2,0,1,0,0,0,21,0,0,3,2,1,17,1,1,1,0,6,,OpTic,9,4,5,44.44%,5,2,3,5,2,1,1,25,1,1,19,4,2,2,57,1,2,2,0,16
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,FaZe,41,25,16,2,83,0,83,2,33,53,-20,2,56,30,26,2,37,28,9,2,250,136,114,0,0,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,3,0,3,0.00%,2,0,2,2,0,0,0,10,0,0,6,1,0,1,2,0,0,0,0,5
Tuscan,Legion,51,0,39,2,25,15,6,14,19,3,,,,,,174,10,,66,25,2,6,-82,2,53,38,2,21,-47,2,28,-10,2,17.40,51,0,1,1,1,1,,,Mutineers,24,48,-24,3,74,49,25,3,57,45,12,3,55,26,29,2,40,32,8,2,250,200,50,0,0,0,0,13,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,3,3,0,100.00%,1,1,0,1,1,1,1,8,1,0,5,2,2,0,14,0,2,2,0,6
Tuscan,FaZe,0,56,1,44,27,41,32,14,24,11,,,,,,250,,,41,-25,2,88,82,2,15,-38,2,68,47,2,38,10,2,25.00,56,0,1,1,1,1,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Legion,,A,D,,,,O,,1,,D,X,,,O,,1,,D,X,1,A,O,X,,A,D,,,A,O,X,,B,D,,,,,,,,,,3,,4,1,2,1,2,1,0,0,5,2,2,2,2,0,1,0,,,Subliners,11,5,6,45.45%,5,5,2,3,2,1,1,1,0,0,6,3,3,3,3,4,1,1,1,,,,,,Tuscan,OpTic,,X,,4,O,0,1,X,X,,D,9,,X,,3,O,3,,,,,D,18,,,,,,,1,30,7,,2,0,2,0,0,0,3,0,0,7,2,1,27,1,1,1,0,6,,Subliners,5,3,2,60.00%,3,1,2,3,1,1,1,8,1,0,14,2,2,0,11,1,2,2,0,5
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Royal Ravens,33,12,21,3,41,42,-1,3,35,32,3,2,37,42,-5,2,17,60,-43,2,163,188,-25,0,1,0,1,12,,,,,,Desert Siege,FaZe,1,A,O,X,1,,D,X,,,O,,1,,D,X,,,O,,,A,D,,1,A,O,X,1,A,D,,1,B,O,X,,,,,,,,,6,,5,3,3,3,2,2,1,1,4,3,2,2,2,1,0,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Royal Ravens,1,,X,,D,11,,,,,O,6,1,,,,D,5,1,X,X,6,O,23,,,,,,,3,45,6,,2,1,1,1,1,1,29,1,0,6,2,2,16,0,1,1,1,7,,Rokkr,5,2,3,40.00%,2,1,1,2,1,1,1,35,1,0,10,3,1,2,20,0,1,1,0,12
