HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,3,0,3,0.00%,2,0,2,1,0,0,0,9,0,0,4,1,0,1,0,0,0,0,0,3
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,114,120,-6,5,77,136,-59,5,93,97,-4,4,71,86,-15,4,41,52,-11,3,396,491,-95,0,1,0,0,21,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,5,2,3,40.00%,2,0,2,1,0,0,0,16,0,0,6,3,2,1,27,1,2,2,0,9
Bocage,Breach,4,27,28,42,12,9,0,26,31,37,9,18,7,,,250,13,,22,-29,3,45,-44,3,61,30,3,73,58,2,49,33,2,19.23,42,0,0,1,1,1,,,Surge,92,190,-98,6,104,78,26,5,120,78,42,4,59,88,-29,4,75,66,9,4,450,500,-50,1,1,1,1,23,,,,,,Tuscan,Breach,1,,D,X,1,A,O,X,,,D,,,,O,,,A,D,,,A,O,X,,A,D,,1,,O,X,,,D,,,,,,,,,,3,,4,2,3,2,2,1,0,0,5,1,1,1,2,0,0,0,,,Guerrillas,10,4,6,40.00%,7,5,3,2,3,3,2,2,3,1,5,1,4,4,1,2,0,1,0,,,,,,Tuscan,Surge,,X,,3,O,0,,,,,D,0,,X,,4,O,1,,,,,,,,,,,,,0,1,7,,2,0,2,0,0,0,1,0,0,7,1,0,0,0,0,0,0,4,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Surge,11,13,16,3,9,28,57,15,12,7,12,19,0,,,202,,,51,29,3,89,44,3,31,-30,3,15,-58,2,16,-33,2,15.54,57,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,Total Pts,,3584,,,5,10,5,10,88,,,,,,Tuscan,Surge,,,O,,,A,D,,1,,O,X,1,,D,X,1,A,O,X,1,A,D,,1,A,O,X,,,D,,1,,O,X,,,,,,,,,6,,5,4,4,4,2,2,0,0,4,2,1,1,2,1,0,0,,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Breach,1,,X,,D,9,1,X,,4,O,3,1,,X,,D,3,,,,,,,,,,,,,3,15,4,,1,1,1,1,0,0,3,0,1,4,2,2,12,0,2,1,1,7,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Bocage,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Berlin,Breach,24,44,16,20,8,52,2,28,13,17,12,14,,,,250,12,,88,26,3,60,24,3,44,-7,2,33,6,2,25,-13,2,20.83,52,2,1,0,0,0,,,Breach,38,90,-52,6,118,105,13,6,103,76,27,5,112,66,46,4,80,50,30,4,451,387,64,0,1,1,2,25,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Bocage,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Tuscan,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Berlin,Surge,20,2,36,13,15,2,33,15,14,23,40,1,,,,214,,,62,-26,3,36,-24,3,51,7,2,27,-6,2,38,13,2,17.83,40,1,0,0,1,0,,,OpTic,50,80,-30,6,126,102,24,6,71,126,-55,5,81,65,16,4,82,74,8,4,410,447,-37,0,1,0,0,25,,,,,,Bocage,Mutineers,1,,D,,1,A,O,X,,B,D,X,,A,O,X,1,,D,X,,,O,,1,A,D,,,,O,,,,D,,1,B,O,X,,,O,,5,,6,2,3,2,2,1,1,1,5,3,2,1,1,1,1,0,,,Breach,9,3,6,33.33%,2,4,2,2,1,1,0,0,0,0,5,1,4,1,1,2,0,0,0,,,,,,Tuscan,Royal Ravens,,X,,4,O,3,1,,X,,D,3,,X,,3,O,11,1,,X,,D,12,,,,,D,8,2,37,7,,2,0,2,0,0,0,14,0,0,7,3,2,23,0,2,2,0,12,,Breach,7,6,1,85.71%,3,2,1,3,2,0,0,24,0,2,11,4,4,0,23,0,4,2,2,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,Royal Ravens,,,O,X,,A,D,,1,B,O,,1,A,D,,,,O,,1,,D,X,,A,O,X,1,,D,X,1,,O,X,,B,D,,1,,D,X,6,,5,2,3,1,1,0,1,1,6,4,3,3,2,1,1,0,,,OpTic,8,6,2,75.00%,5,4,2,2,2,1,1,1,0,0,4,4,0,3,3,1,1,1,1,,,,,,Tuscan,Mutineers,1,,X,,D,4,,X,,4,O,3,1,,X,,D,8,,X,,3,O,1,1,X,X,5,O,12,3,28,12,,3,1,3,1,1,1,16,1,0,12,2,2,12,0,2,2,0,7,,OpTic,4,1,3,25.00%,2,0,2,1,0,0,0,9,0,0,5,2,1,1,20,0,1,1,0,9
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,FaZe,38,50,-12,3,39,77,-38,3,54,35,19,2,31,50,-19,2,44,38,6,2,206,250,-44,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Mutineers,0,18,2,3,23,12,16,30,,,,,,,,104,8,,12,-62,2,34,-11,2,32,-19,2,3,-46,1,23,-8,1,13.00,30,0,0,1,0,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,4,1,3,25.00%,2,0,2,2,0,0,0,9,0,0,7,2,1,1,23,0,1,1,0,9
Tuscan,Royal Ravens,43,13,42,49,31,31,32,9,,,,,,,,250,,,74,62,2,45,11,2,51,19,2,49,46,1,31,8,1,31.25,49,9,0,0,0,1,,,Subliners,89,34,55,5,103,117,-14,5,148,34,114,4,77,77,0,4,83,110,-27,4,500,372,128,1,1,1,1,22,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,11,5,6,45.45%,5,6,2,4,3,2,2,1,1,1,5,3,2,2,1,1,1,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,5,3,2,60.00%,3,1,2,3,1,1,1,16,1,0,12,2,2,0,12,0,2,2,0,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,OpTic,,,D,X,1,,O,X,,A,D,,1,,O,X,1,,D,X,1,,O,X,1,,D,X,1,A,O,,,,,,,,,,,,,,6,,4,4,3,3,1,1,0,0,4,2,3,2,1,0,0,0,,,Subliners,8,2,6,25.00%,3,4,0,4,1,0,1,0,1,0,4,2,2,2,1,1,0,0,0,,,,,,Tuscan,Legion,1,X,X,6,O,20,1,X,X,,D,18,,X,,3,O,4,1,,1,,D,6,,,,,,,3,48,9,,2,1,2,1,1,1,24,1,0,9,2,2,24,1,1,1,1,5,,Subliners,5,2,3,40.00%,2,0,2,2,0,0,0,4,0,0,6,3,2,1,36,0,2,1,1,12
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Legion,1,,O,,,,D,,1,A,O,X,,,D,,,,O,,,,D,,,,O,,,A,D,X,,,,,,,,,,,,,2,,4,2,1,1,1,1,0,0,4,0,1,0,1,0,0,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,OpTic,,,,,D,8,,,,2,O,9,1,,X,,D,12,,X,,3,O,0,,,,,,,1,29,5,,2,0,1,0,0,0,9,0,0,5,2,1,20,0,1,1,0,9,,Rokkr,5,3,2,60.00%,3,1,2,3,1,1,1,19,1,0,12,2,2,0,20,0,2,2,0,7
