HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Subliners,1,28,6,29,27,20,6,9,19,56,45,0,,,,246,12,,66,13,3,34,-15,3,15,-56,2,48,-8,2,83,62,2,20.50,56,1,1,1,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,9,6,3,66.67%,6,5,3,2,3,2,3,2,1,1,4,3,1,3,3,1,1,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Breach,14,45,42,20,8,21,11,1,14,19,15,35,5,,,250,13,,50,32,3,91,61,3,48,-8,3,34,-11,2,27,-17,2,19.23,45,1,0,0,1,2,,,Surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,OpTic,,A,D,,,,O,,1,,D,X,,,O,X,,B,D,X,1,,O,,,B,D,,1,B,O,X,,A,D,,,,,,,,,,3,,4,2,2,1,0,0,1,1,5,1,2,1,2,0,2,0,,,Guerrillas,9,3,6,33.33%,3,4,1,3,1,1,1,0,1,1,5,2,3,2,1,3,1,1,0,,,,,,Berlin,Guerrillas,,,X,3,O,4,1,X,,,D,12,,,X,3,O,3,,,,,D,0,,,,,,,1,19,6,,2,0,0,0,2,0,7,0,0,6,2,1,12,1,0,1,0,8,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,OpTic,0,0,2,15,29,4,24,52,30,15,14,6,2,,,193,,,18,-32,3,30,-61,3,56,8,3,45,11,2,44,17,2,14.85,52,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,Total Pts,,1322,,,3,9,3,9,33,,,,,,Berlin,Breach,1,A,O,X,1,,D,X,,,O,,1,,D,,1,B,O,,,,D,X,1,B,O,X,,B,D,,1,A,O,X,,,,,,,,,6,,5,4,3,3,2,2,2,2,4,2,2,1,0,0,1,0,,,Surge,10,6,4,60.00%,4,5,2,3,1,1,3,2,1,0,5,4,1,3,3,1,1,0,0,,,,,,Berlin,Ultra,1,X,,,D,7,,,X,3,O,3,1,X,,,D,10,1,,X,5,O,4,,,,,,,3,24,8,,2,1,0,0,2,1,7,0,1,8,2,2,17,2,0,2,0,6,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Bocage,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Ultra,44,14,25,1,10,19,9,52,0,,,,,,,174,9,,63,18,2,23,-31,2,77,62,2,1,-94,2,10,-31,1,19.33,52,0,1,1,1,1,,,Breach,50,18,32,3,91,30,61,3,48,56,-8,3,34,45,-11,2,27,44,-17,2,250,193,57,0,0,1,2,13,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Bocage,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Tuscan,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Gavutu,Guerrillas,5,27,15,52,41,40,27,0,43,,,,,,,250,,,45,-18,2,54,31,2,15,-62,2,95,94,2,41,31,1,27.78,52,0,1,1,1,1,,,OpTic,37,93,-56,6,88,152,-64,6,82,98,-16,5,107,54,53,4,74,61,13,4,388,458,-70,1,2,0,0,25,,,,,,Desert Siege,Ultra,1,B,D,X,,,O,,,A,D,,,,O,,1,,D,X,,,O,X,,,D,,1,A,O,,1,,D,X,,,O,X,,,,,4,,5,1,2,0,1,1,0,0,5,3,3,3,1,0,1,1,,,Breach,11,5,6,45.45%,5,6,2,4,2,1,1,0,2,1,5,3,2,3,3,1,0,1,1,,,,,,Berlin,Royal Ravens,1,X,X,6,O,13,,,,,D,3,,,X,3,O,3,,,,,D,0,,,,,,,1,19,9,,2,1,1,1,2,1,16,1,0,9,2,0,3,0,0,0,0,11,,Breach,3,3,0,100.00%,1,1,0,1,1,0,0,6,0,1,4,2,2,0,12,1,2,2,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Guerrillas,,B,O,,1,,D,X,1,A,O,X,1,,D,X,,,O,,1,,D,,1,,O,X,,A,D,X,,,O,,1,,D,,,,,,6,,5,2,2,2,1,1,1,0,5,4,3,2,1,0,0,0,,,OpTic,22,11,11,50.00%,11,10,4,6,4,2,2,2,4,1,12,7,5,7,6,2,1,3,1,,,,,,Berlin,Ultra,,,,,D,6,1,X,X,6,O,10,1,X,,,D,3,1,,X,5,O,4,,,,,,,3,23,11,,2,2,1,1,2,2,14,1,1,11,2,1,9,1,0,1,0,9,,OpTic,6,3,3,50.00%,4,2,2,3,2,0,0,20,0,2,13,2,1,1,6,0,1,1,0,7
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,6,0,6,0.00%,2,3,0,3,1,0,0,0,2,0,3,0,3,1,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,5,3,2,60.00%,2,0,2,2,0,0,0,10,0,0,10,3,3,0,14,0,3,3,0,12
Tuscan,Ultra,6,8,7,55,18,50,56,11,22,15,2,,,,,250,11,,58,25,3,64,23,2,18,-51,2,77,48,2,33,-32,2,22.73,56,2,3,0,0,3,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,6,6,0,100.00%,4,3,3,0,2,2,0,0,2,2,3,3,0,2,2,0,0,2,2,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,2,3,40.00%,3,0,3,3,0,0,0,10,0,0,12,2,2,0,18,0,2,2,0,10
Tuscan,Guerrillas,28,41,34,0,33,5,0,35,29,32,0,,,,,237,,,33,-25,3,41,-23,2,69,51,2,29,-48,2,65,32,2,21.55,41,0,0,3,3,0,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,8,6,2,75.00%,5,4,2,2,2,1,1,1,1,1,4,4,0,3,3,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,10,5,5,50.00%,5,0,5,5,0,0,0,15,0,0,16,5,5,0,35,0,5,5,0,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rokkr,43,19,24,3,61,58,3,3,50,26,24,2,20,62,-42,2,34,30,4,2,208,195,13,0,0,0,0,12,,,,,,Berlin,Guerrillas,1,,D,,,,O,,,B,D,,,,O,,1,A,D,X,1,B,O,X,,A,D,X,,A,O,,,A,D,,,,,,,,,,3,,4,1,1,1,1,0,1,1,5,2,2,1,3,1,1,0,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Subliners,,,X,5,O,0,1,X,,,D,12,,,X,5,O,5,,,,,D,0,,,,,,,1,17,10,,2,0,0,0,2,0,5,0,0,10,2,1,12,1,0,1,0,8,,Subliners,5,3,2,60.00%,2,0,2,2,0,0,0,13,0,0,10,3,3,0,28,0,3,1,2,9
